PhysID,ITM_1,ITM_2,ITM_3,ITM_4,ITM_5,ITM_6,ITM_7
1548222599,GENDER_M,SPCLTY_Family Practice,STATE_FL,TRAMADOL,,,
1548223324,GENDER_M,HYDROCODONE,SPCLTY_Neurology,STATE_TX,TRAMADOL,,
1548223779,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_GA,TRAMADOL,,
1548223894,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_OH,,,
1548225055,GENDER_M,HYDROCODONE,SPCLTY_Urology,STATE_AR,,,
1548225998,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_PA,TRAMADOL,
1548233455,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_MO,TRAMADOL,,
1548234354,GENDER_M,HYDROCODONE,SPCLTY_Physical Medicine and,STATE_TX,TRAMADOL,,
1548238389,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_General Surgery,STATE_FL,,
1548238538,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_NY,TRAMADOL
1548239791,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_OH,TRAMADOL,
1548240328,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_IL,,,
1548240351,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_AR,TRAMADOL,,
1548242134,GENDER_M,HYDROCODONE,SPCLTY_Orthopedic Surgery,STATE_IL,TRAMADOL,,
1548245392,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_FL,,,
1548247315,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_MO,TRAMADOL
1548250269,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_TX,TRAMADOL,,
1548251127,GENDER_M,HYDROCODONE,SPCLTY_Dermatology,STATE_MA,,,
1548252273,GENDER_M,SPCLTY_Internal Medicine,STATE_VA,TRAMADOL,,,
1548252844,GENDER_M,HYDROCODONE,SPCLTY_Oral Surgery (dentist,STATE_NC,,,
1548254204,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Orthopedic Surgery,STATE_FL,TRAMADOL,
1548255755,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Hematology/Oncology,STATE_WV,
1548255912,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_PA,TRAMADOL,,
1548255938,GENDER_M,HYDROCODONE,SPCLTY_Ophthalmology,STATE_LA,,,
1548257942,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_General Surgery,STATE_FL,,
1548258718,FENTANYL,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_MT,TRAMADOL
1548260847,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_TN,,
1548263213,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Urology,STATE_UT,,
1548265135,GENDER_M,HYDROCODONE,SPCLTY_Nephrology,STATE_IN,TRAMADOL,,
1548266174,FENTANYL,GENDER_M,OXYCODONE,SPCLTY_Gastroenterology,STATE_MO,,
